# Levantine (Syrian) curated lexicon — category: questions
# columns: text<TAB>freq(200-255)
اه	243
ها	236
هاه	212
نعم	228
وبعدين	220
شكلو	216
مبين	206
كيفها	210
وينها	214
وينن	210
شبك	230
شبو	206
شبها	202
إيمتى	216
امتى	218
من ايمتى	210
لايمتى	204
اديش	224
أديش	210
كم	226
بقديش	214
قديش حقو	212
قديش عمرك	202
ع وين	222
على وين	208
لمين	220
مع مين	218
مين معك	212
مين هاد	214
مين قال	210
مين قلك	208
شو يعني	234
شو في ما في	228
شو الأخبار	216
شو اخباركن	204
شو القصة	220
شو رأيك	216
شو بدو	212
شو بدها	204
شو بدكن	208
شو عملت	220
شو عم تعملي	212
شو وضعك	206
شو عندك	214
شو صاير	210
شو رح تعمل	208
شو نعمل	206
شو رح نعمل	208
شو قال	210
شو قلك	212
شو هاي	218
شو فيك	226
شو فيها	204
شو مالك	220
شو قصدك	218
شو الجديد	212
شو الحل	210
شو العمل	204
شو الموضوع	206
شو الحكاية	202
شو عامل	216
شو عاملة	206
شو عاملين	208
شو اسمك	210
شو لازمك	202
شو اللي صار	206
شو صار معك	214
يعني شو	214
قال شو	204
ها شو	206
كيف صحتك	208
كيف الوضع	214
كيف الاوضاع	206
كيف صار	212
كيف يعني	214
كيف الشغل	210
شلون صار	202
وين صرت	222
وين صرتي	206
وين كنت	216
وين رايح	218
وين رايحة	204
وين رايحين	206
لوين رايح	210
انت وين	214
انتي وين	204
وينك هلق	210
وين وصلت	212
وينك من زمان	206
ليش يعني	210
وليش	210
ليش ما رديت	202
ليش ما بترد	204
ليش زعلان	204
ليش ما جيت	202
لشو	218
بشو	210
عن شو	214
على شو	210
مشان شو	214
منشان شو	206
كله تمام	230
الحمدلله تمام	220
ما في شي	224
مافي شي	216
في شي	220
صار شي	208
في جديد	204
مش معقول	212
عن جد	210
لا والله	216
اي طبعا	212
وحياتك	206
بتمزح	212
عم تمزح	204
ولا لأ	212
ولا شو	210
صح ولا لأ	206
مافهمت	210
فهمت عليي	210
سامعني	212
عم تسمعني	204
شفت شو صار	204
شايف	212
بدك شي	222
رح تجي	208
خير انشالله	212
